施設・事業名,緯度,経度
横浜そらいろ保育園,35.460797,139.614288
Maple Nursery 横浜,35.457275,139.620679
アミー保育園高島園,35.460266,139.623022
京急キッズランド新高島保育園,35.462166,139.625864
ポピンズナーサリースクール平沼橋,35.460336,139.616607
にじいろ保育園平沼,35.459817,139.6201
横浜西口保育園,35.459288,139.615073
西区中央もえぎ保育室,35.453797,139.614465
おれんじハウス西戸部保育園,35.449717,139.619476
キッズパートナー平沼橋,35.461288,139.616383
キッズパートナー横浜楠町,35.466511,139.613475
キャリー保育園　桜木町,35.451043,139.624554
キッズパートナーみなとみらい第２,35.463696,139.632697
Maple Nursery WEST,35.46041,139.618097
戸部みつばち保育園,35.45623,139.616248
すぎやま家庭保育室,35.451125,139.611998
スターチャイルド《桜木町ステーションナーサリー》,35.449942,139.631636
クラウン保育園,35.447798,139.627609
ポピンズナーサリースクール馬車道,35.451378,139.638102
アスク馬車道保育園,35.44856,139.637648
にじいろ保育園関内,35.444669,139.635406
伊勢佐木町保育園,35.438364,139.625932
ララランド横浜伊勢佐木,35.437585,139.622561
アスク山下町保育園,35.445234,139.64764
横濱中華幼保園,35.442572,139.644539
うちゅう保育園やました,35.443072,139.652323
アメリカ山徳育こども園,35.441668,139.651466
木下の保育園　山下町,35.440875,139.647162
うみの風保育園,35.442044,139.655313
新山下二丁目保育所,35.439142,139.657791
保育園小紅,35.439257,139.642238
キディ石川町・横浜,35.438825,139.642831
ラフ・クルー元町保育園,35.4379,139.642562
ことぶき保育園,35.438642,139.638869
寿福祉センター保育所,35.438499,139.63756
保育園ばんびーな,35.437261,139.639728
ヨコハマきぼう保育園,35.437567,139.635621
打越保育園,35.434122,139.638395
横浜市山手保育園,35.43554,139.654482
うちゅうこども園やまて,35.43497,139.653403
横浜市竹之丸保育園,35.429054,139.644063
山元町保育園,35.426658,139.637658
木下の保育園　本牧,35.431516,139.659431
横浜市錦保育園,35.428977,139.673559
すいとぴー保育園,35.427318,139.666215
高風保育園,35.41689,139.665586
アスク本牧保育園,35.422121,139.661696
太陽の子　不動下保育園,35.417461,139.639393
ニチイキッズ桜木町保育園,35.448207,139.631443
キッズパートナー横浜市役所,35.450215,139.635183
徳育ナーサリー山下公園,35.447228,139.645638
保育ルーム山下公園,35.445415,139.643974
あいりす　新山下保育室,35.443811,139.647522
ル・ボワ保育園,35.437891,139.635253
保育園ころころキッズガーデン,35.438578,139.622298
のぞみ山手駅前保育園,35.427006,139.646298
ほんもくはら保育園,35.426951,139.666375
アミー保育室　本牧原,35.425107,139.669731
シュハリィ本牧保育園,35.422176,139.662483
あいりす　本牧保育室,35.425549,139.656855
こもれび保育園根岸園,35.418891,139.645558
中村愛児園,35.432166,139.631447
みなみマーノ保育園,35.43412,139.626636
やすらぎ保育園,35.435497,139.629898
横浜市しろばら保育園,35.432825,139.62495
