【令和６年７月１日時点】受入可能数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
神奈川区,14102,グローバルキッズ子安駅前保育園,1410051024917,0,3,2,2,2,3,12,2024-07-01,
神奈川区,14102,ＹＭＣＡ東かながわ保育園,1410051016277,1,0,0,0,0,0,1,2024-07-01,
神奈川区,14102,ナーサリー横浜ポートサイド,1410051018000,0,0,0,0,2,0,2,2024-07-01,
神奈川区,14102,横浜すきっぷ保育園,1410051016343,1,1,0,0,1,1,4,2024-07-01,
神奈川区,14102,ひびき金港町保育園,1410051024420,0,0,0,0,1,1,2,2024-07-01,
神奈川区,14102,ウィズブック保育園青木町,1410051026599,2,0,0,3,5,2,12,2024-07-01,
神奈川区,14102,認定こども園捜真幼稚園,1410051020469,0,0,0,3,0,1,4,2024-07-01,
神奈川区,14102,うちゅうこども園たんまち,1410051026227,0,0,0,0,0,2,2,2024-07-01,
神奈川区,14102,保育ルーム　岸根公園前,1410052003571,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,こころベイビー,1410052004199,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,みらいつばさ片倉町保育園,1410052005964,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,横浜シュタイナー保育園,1410052003456,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,京進のほいくえんＨＯＰＰＡ反町園,1410052004348,1,1,0,0,0,0,2,2024-07-01,
神奈川区,14102,東神奈川ひかり保育園,1410052003464,0,2,1,0,0,0,3,2024-07-01,
神奈川区,14102,キッズパートナー東白楽,1410052004322,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,横浜ノーベル保育園,1410052004819,1,6,3,0,0,0,10,2024-07-01,
神奈川区,14102,ＳＵＮＮＹ　ＫＩＤ保育園,1410052004306,0,2,1,0,0,0,3,2024-07-01,
神奈川区,14102,西寺尾チューリップルーム,1410052004330,3,0,0,0,0,0,3,2024-07-01,
神奈川区,14102,京浜保育園パステル,1410052005659,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,リトルスカラー新子安保育園,1410052004652,0,2,1,0,0,0,3,2024-07-01,
神奈川区,14102,キッズパートナー新子安,1410052004314,0,7,0,0,0,0,7,2024-07-01,
神奈川区,14102,新町あいりす保育園（令和７年３月で閉園します）,1410052004520,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,おれんじハウス横浜駅前保育園,1410052003001,2,1,2,0,0,0,5,2024-07-01,
神奈川区,14102,たいせつ横浜ポートサイド保育園,1410052004645,1,1,0,0,0,0,2,2024-07-01,
神奈川区,14102,ポートサイド野ばな保育園,1410052005998,0,4,3,0,0,0,7,2024-07-01,
神奈川区,14102,スターチャイルド≪横浜ステーションナーサリー≫,1410052005212,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,Yokohama Front Mutsumi Nursery,1410052006004,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,かわち保育ルーム（令和７年３月で閉園します）,1410052003712,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,こまつな保育園,1410052004082,0,1,1,0,0,0,2,2024-07-01,
西区,14103,横浜市南浅間保育園,1410051020014,0,0,0,3,0,1,4,2024-07-01,
西区,14103,トキワ保育園,1410051016368,3,2,0,0,0,1,6,2024-07-01,
西区,14103,利正寺保育園,1410051014694,-,0,0,4,5,1,10,2024-07-01,
西区,14103,浅間幼育園,1410051019883,-,0,0,1,3,2,6,2024-07-01,
西区,14103,むつみ愛児園,1410051027514,-,-,0,2,0,4,6,2024-07-01,
西区,14103,つくし愛児園,1410051020394,-,-,6,10,12,12,40,2024-07-01,
西区,14103,平沼保育園,1410051019305,3,0,0,1,0,0,4,2024-07-01,
西区,14103,あそびの杜保育園（分園含む）,1410051014686,0,1,0,0,0,0,1,2024-07-01,
西区,14103,横浜みなとみらい保育園,1410051016384,0,0,0,0,0,0,0,2024-07-01,
西区,14103,にじいろ保育園みなとみらい,1410051015352,0,0,0,1,6,9,16,2024-07-01,
西区,14103,ポピンズナーサリースクールみなとみらい,1410051019230,1,0,0,1,0,1,3,2024-07-01,
西区,14103,ムーミン保育園,1410051016392,0,0,0,1,0,3,4,2024-07-01,
西区,14103,ほっぺるランド横浜岡野,1410051013902,-,1,0,3,0,2,6,2024-07-01,
西区,14103,グリーンポート桜木町保育園,1410051014702,3,0,0,6,0,0,9,2024-07-01,
西区,14103,ポピンズナーサリースクール横浜,1410051019248,0,0,0,2,5,0,7,2024-07-01,
西区,14103,ろぜっと保育園,1410051016400,0,0,0,0,0,0,0,2024-07-01,
西区,14103,桃の木保育園,1410051018034,0,1,1,0,0,2,4,2024-07-01,
西区,14103,キッズポケット木の葉保育園,1410051024172,0,0,0,0,0,0,0,2024-07-01,
西区,14103,マイ・ハート紅葉ヶ丘保育園,1410051024347,0,0,0,0,0,2,2,2024-07-01,
西区,14103,キッズパートナーみなとみらい,1410051024081,0,0,0,4,3,3,10,2024-07-01,
西区,14103,キッズポケット保育園,1410051019313,0,2,0,-,-,-,2,2024-07-01,
西区,14103,横浜岡野すきっぷ保育園,1410051024776,0,0,0,1,1,2,4,2024-07-01,
西区,14103,おはよう保育園　花咲町,1410051025039,0,0,0,0,2,0,2,2024-07-01,
西区,14103,みなとみらいくばがさ保育園,1410051024677,0,0,0,0,5,2,7,2024-07-01,
西区,14103,ウィズブック保育園戸部,1410051025450,0,0,0,0,0,1,1,2024-07-01,
西区,14103,横浜そらいろ保育園,1410051025559,0,0,0,1,0,2,3,2024-07-01,
西区,14103,Maple Nursery 横浜,1410051028181,0,0,0,0,5,4,9,2024-07-01,
西区,14103,アミー保育園高島園,1410051025393,3,0,1,1,0,1,6,2024-07-01,
西区,14103,京急キッズランド新高島保育園,1410051025914,1,0,0,1,0,2,4,2024-07-01,
西区,14103,ポピンズナーサリースクール平沼橋,1410051027332,-,0,0,1,0,3,4,2024-07-01,
西区,14103,にじいろ保育園平沼,1410051027118,-,0,0,5,2,8,15,2024-07-01,
西区,14103,横浜西口保育園,1410051027597,0,0,0,1,4,0,5,2024-07-01,
西区,14103,西区中央もえぎ保育室,1410052003399,1,2,0,-,-,-,3,2024-07-01,
西区,14103,おれんじハウス西戸部保育園,1410052002870,0,0,0,-,-,-,0,2024-07-01,
西区,14103,キッズパートナー平沼橋,1410052002961,0,0,0,-,-,-,0,2024-07-01,
西区,14103,キッズパートナー横浜楠町,1410052004157,0,1,0,-,-,-,1,2024-07-01,
西区,14103,キャリー保育園　桜木町,1410052004256,0,0,0,-,-,-,0,2024-07-01,
西区,14103,キッズパートナーみなとみらい第２,1410052004660,1,1,4,-,-,-,6,2024-07-01,
西区,14103,Maple Nursery WEST,1410052005071,0,0,0,-,-,-,0,2024-07-01,
西区,14103,戸部みつばち保育園,1410052005832,-,0,0,-,-,-,0,2024-07-01,
西区,14103,すぎやま家庭保育室,1410052004926,3,,,-,-,-,3,2024-07-01,
中区,14104,スターチャイルド《桜木町ステーションナーサリー》,1410051025922,0,0,0,0,0,0,0,2024-07-01,
中区,14104,クラウン保育園,1410051027217,-,0,0,0,2,0,2,2024-07-01,
中区,14104,ポピンズナーサリースクール馬車道,1410051016483,0,0,0,0,0,0,0,2024-07-01,
中区,14104,アスク馬車道保育園,1410051016418,0,0,0,0,1,4,5,2024-07-01,
