【令和６年７月１日時点】入所児童数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
泉区,14116,ぬくもりの森しんばし　やよい台こども園,1410051023729,0,5,7,6,7,5,30,2024-07-01,
泉区,14116,認定こども園　ふじづかようちえん・ふじづかほくえん,1410051025740,-,5,5,5,5,6,26,2024-07-01,
泉区,14116,認定こども園　宮の台幼稚園,1410051026839,-,5,7,8,9,6,35,2024-07-01,
泉区,14116,認定こども園　明成幼稚園,1410051025096,3,4,5,5,5,5,27,2024-07-01,
泉区,14116,認定こども園　上飯田幼稚園,1410051027282,-,4,5,7,7,7,30,2024-07-01,
泉区,14116,えんがわ,1410052002938,2,5,6,-,-,-,13,2024-07-01,
泉区,14116,サクラフェリーチェ保育園,1410052004280,6,9,6,-,-,-,21,2024-07-01,
泉区,14116,立場らびっと保育園,1410052004124,6,8,8,-,-,-,22,2024-07-01,
泉区,14116,中田いちご保育園,1410052003118,1,5,4,-,-,-,10,2024-07-01,
泉区,14116,中田駅前　はまっこ保育園,1410052004223,2,8,8,-,-,-,18,2024-07-01,
泉区,14116,中田ひまわり保育室,1410052004611,4,9,6,-,-,-,19,2024-07-01,
泉区,14116,鳩の森愛の詩とことこ保育園,1410052005337,-,9,9,-,-,-,18,2024-07-01,
泉区,14116,ベイキッズおひさま保育園,1410052003142,1,5,3,-,-,-,9,2024-07-01,
泉区,14116,マーヤ保育園,1410052002920,4,7,8,-,-,-,19,2024-07-01,
泉区,14116,グロウアップ  モンテッソーリ子どもの家　立場園,1410052005923,-,11,10,-,-,-,21,2024-07-01,
瀬谷区,14114,横浜市瀬谷第二保育園,1410051019198,11,15,18,21,26,19,110,2024-07-01,
瀬谷区,14114,横浜市中屋敷保育園,1410051019206,8,14,15,20,12,21,90,2024-07-01,
瀬谷区,14114,横浜市二ツ橋保育園,1410051020386,-,6,8,13,9,8,44,2024-07-01,
瀬谷区,14114,阿久和保育園,1410051014595,6,15,15,15,15,15,81,2024-07-01,
瀬谷区,14114,鳩の森愛の詩瀬谷保育園,1410051016145,9,14,15,20,21,21,100,2024-07-01,
瀬谷区,14114,瀬谷愛児園,1410051019404,7,14,14,13,9,11,68,2024-07-01,
瀬谷区,14114,瀬谷中央保育園,1410051014611,9,16,18,18,19,20,100,2024-07-01,
瀬谷区,14114,ＧＥＮＫＩＤＳ瀬谷保育園,1410051027456,9,11,10,12,12,12,66,2024-07-01,
瀬谷区,14114,シャローム三育保育園,1410051014603,6,8,15,15,16,16,76,2024-07-01,
瀬谷区,14114,ゆたか保育園,1410051014637,9,12,15,10,10,8,64,2024-07-01,
瀬谷区,14114,グローバルキッズ三ツ境園,1410051027050,-,12,12,12,11,9,56,2024-07-01,
瀬谷区,14114,鳩の森愛の詩　宮沢保育園,1410051015329,-,5,10,15,17,18,65,2024-07-01,
瀬谷区,14114,ティンクル瀬谷保育園,1410051014629,12,20,22,22,21,22,119,2024-07-01,
瀬谷区,14114,Gakkenほいくえん二ツ橋,1410051018505,6,8,10,12,9,8,53,2024-07-01,
瀬谷区,14114,ほうゆう保育園,1410051017846,3,9,15,14,14,10,65,2024-07-01,
瀬谷区,14114,下瀬谷保育園,1410051025278,-,14,15,15,15,14,73,2024-07-01,
瀬谷区,14114,ネスト瀬谷,1410051024644,7,7,7,13,13,13,60,2024-07-01,
瀬谷区,14114,わらべ細谷戸保育園,1410051026185,-,12,15,14,13,17,71,2024-07-01,
瀬谷区,14114,保育室「ネスト」,1410051026797,6,7,7,10,10,10,50,2024-07-01,
瀬谷区,14114,認定こども園　あづまの幼稚園・あづまのナーサリー・youyouキッズ,1410051020550,3,7,10,9,9,10,48,2024-07-01,
瀬谷区,14114,認定こども園はらのこ　原幼稚園,1410051020568,6,12,12,12,12,11,65,2024-07-01,
瀬谷区,14114,認定こども園二ツ橋あいりん幼稚園,1410051026250,0,0,9,12,6,7,34,2024-07-01,
瀬谷区,14114,幼保連携型認定こども園　みなみ幼稚園,1410051024123,-,12,15,16,17,16,76,2024-07-01,
瀬谷区,14114,阿久和キッズ,1410052002789,3,8,8,-,-,-,19,2024-07-01,
瀬谷区,14114,てぃんく２＠ねすと,1410052003332,3,6,7,-,-,-,16,2024-07-01,
瀬谷区,14114,stellar education garden阿久和小規模保育園,1410052005485,-,6,4,-,-,-,10,2024-07-01,
瀬谷区,14114,はぐ＠ねすと,1410052003324,2,5,5,-,-,-,12,2024-07-01,
瀬谷区,14114,ネストぽぽ,1410052002862,2,8,9,-,-,-,19,2024-07-01,
瀬谷区,14114,ネストうーたん,1410052004702,4,9,9,-,-,-,22,2024-07-01,
瀬谷区,14114,瀬谷そらいろ保育園,1410052005782,3,9,10,-,-,-,22,2024-07-01,
瀬谷区,14114,瀬谷みらい保育園,1410052005899,-,6,6,-,-,-,12,2024-07-01,
瀬谷区,14114,NPO法人ちびっこハウス,1410052005949,-,9,11,-,-,-,20,2024-07-01,
瀬谷区,14114,瀬谷すくすく保育園,1410052006046,-,6,6,-,-,-,12,2024-07-01,
瀬谷区,14114,新美保育室（にいみ＊るーむ）,1410052004009,0,0,2,-,-,-,2,2024-07-01,
